# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	32	454	+	PJMBPO_00001		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M2T2Y4
contig_1	cds	591	1097	-	PJMBPO_00002		Putative universal stress protein SAOUHSC_01819	SO:0001217, UniRef:UniRef50_Q2FXL6
contig_1	cds	1330	2442	+	PJMBPO_00003		Alanine dehydrogenase	SO:0001217, UniRef:UniRef50_P17556
contig_1	cds	2489	3118	-	PJMBPO_00004	cutC	PF03932 family protein CutC	SO:0001217, UniRef:UniRef50_Q49YD8
contig_1	cds	3115	4170	-	PJMBPO_00005		Uncharacterized peptidase SA1530	SO:0001217, UniRef:UniRef50_Q7A552
contig_1	cds	4282	4971	+	PJMBPO_00006		UPF0173 metal-dependent hydrolase SAOUHSC_01815	SO:0001217, UniRef:UniRef50_Q2FXM0
contig_1	cds	5166	6461	+	PJMBPO_00007		CBS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U7JV62
contig_1	cds	6496	6846	-	PJMBPO_00008		YtpI-like protein	SO:0001217, UniRef:UniRef50_A0A2T4PUZ3
contig_1	cds	6921	7847	+	PJMBPO_00009		Oligoribonuclease (NanoRNAse), 3',5'-bisphosphate nucleotidase	SO:0001217, UniRef:UniRef50_A0A7U7JV59
contig_1	cds	7859	11050	+	PJMBPO_00010		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_Q9F1K0
contig_1	cds	11140	12414	+	PJMBPO_00011		Malate dehydrogenase (SdhCAB-associated)	SO:0001217, UniRef:UniRef50_A0A2U3KL65
contig_1	cds	12434	12889	+	PJMBPO_00012		HTH gntR-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M2SM29
contig_1	cds	12908	13777	+	PJMBPO_00013		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	SO:0001217, UniRef:UniRef50_Q24XY8
contig_1	cds	13770	14714	+	PJMBPO_00014		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	SO:0001217, UniRef:UniRef50_Q9HXZ2
contig_1	cds	14953	15918	+	PJMBPO_00015		ATP-dependent 6-phosphofructokinase	SO:0001217, UniRef:UniRef50_Q8CS68
contig_1	cds	15949	17709	+	PJMBPO_00016		Pyruvate kinase	SO:0001217, UniRef:UniRef50_Q02499
contig_1	cds	17889	19244	-	PJMBPO_00017		D-alanine/D-serine/glycine transporter	SO:0001217, UniRef:UniRef50_A0A7U7PXC6
contig_1	cds	19672	20790	+	PJMBPO_00018		Citrate synthase 2	SO:0001217, UniRef:UniRef50_P39120
contig_1	cds	20839	22107	+	PJMBPO_00019		Isocitrate dehydrogenase [NADP]	SO:0001217, UniRef:UniRef50_Q5HNL1
contig_1	cds	22169	23101	+	PJMBPO_00020		Malate dehydrogenase	SO:0001217, UniRef:UniRef50_P80040
