Sequence Id,Type,Start,Stop,Strand,Locus Tag,Gene,Product,DbXrefs
contig_1,cds,103,498,+,KIPAHP_00001,,hypothetical protein,PFAM:PF03193.22
contig_1,cds,498,1145,+,KIPAHP_00002,,Ribulose-phosphate 3-epimerase,"SO:0001217, UniRef:UniRef50_B9EBA2"
contig_1,cds,1148,1792,+,KIPAHP_00003,,Thiamine diphosphokinase,"SO:0001217, UniRef:UniRef50_A0A1D4ME49"
contig_1,cds,1847,2035,-,KIPAHP_00004,,Large ribosomal subunit protein bL28,"SO:0001217, UniRef:UniRef50_P37807"
contig_1,cds,2346,2720,+,KIPAHP_00005,,Alkaline-shock protein,"SO:0001217, UniRef:UniRef50_F4BPZ1"
contig_1,cds,2736,4394,+,KIPAHP_00006,yloV,Protein YloV,"SO:0001217, UniRef:UniRef50_O34751"
contig_1,cds,4522,5187,+,KIPAHP_00007,,L-serine deaminase,"SO:0001217, UniRef:UniRef50_A0A6N3E0K7"
contig_1,cds,5201,6070,+,KIPAHP_00008,,L-serine dehydratase,"SO:0001217, UniRef:UniRef50_Q9CHA7"
contig_1,cds,6214,8253,+,KIPAHP_00009,recG,ATP-dependent DNA helicase RecG,"SO:0001217, UniRef:UniRef50_O50581"
contig_1,cds,8312,8932,+,KIPAHP_00010,srtA,Class A sortase SrtA,"SO:0001217, UniRef:UniRef50_B9EBA8"
contig_1,cds,9524,10093,+,KIPAHP_00011,fapR,Transcription factor FapR,"SO:0001217, UniRef:UniRef50_B1YIN7"
contig_1,cds,10086,11072,+,KIPAHP_00012,,Phosphate acyltransferase,"SO:0001217, UniRef:UniRef50_A0A0D6XPX6"
contig_1,cds,11065,11985,+,KIPAHP_00013,,Malonyl CoA-acyl carrier protein transacylase,"SO:0001217, UniRef:UniRef50_Q99UN8"
contig_1,cds,11985,12722,+,KIPAHP_00014,,3-oxoacyl-[acyl-carrier-protein] reductase,"SO:0001217, UniRef:UniRef50_E0E2I3"
contig_1,cds,12810,13043,+,KIPAHP_00015,,Acyl carrier protein,"SO:0001217, UniRef:UniRef50_Q8R9W1"
contig_1,cds,13363,13608,+,KIPAHP_00016,,hypothetical protein,"SO:0001217, UniRef:UniRef50_A0AAI8GTU6"
contig_1,cds,13837,14460,+,KIPAHP_00017,,CHAP domain-containing protein,"SO:0001217, UniRef:UniRef50_A0A239ZHZ4"
contig_1,cds,14629,15348,+,KIPAHP_00018,,Ribonuclease 3,"SO:0001217, UniRef:UniRef50_Q2FZ50"
contig_1,cds,15359,18925,+,KIPAHP_00019,,Chromosome partition protein Smc,"SO:0001217, UniRef:UniRef50_A0A380G9C6"
contig_1,cds,18922,20094,+,KIPAHP_00020,ftsY,Signal recognition particle receptor FtsY,"SO:0001217, UniRef:UniRef50_S5ZBK3"
contig_1,cds,20081,20416,+,KIPAHP_00021,,UPF0122 protein SAOUHSC_01206,"SO:0001217, UniRef:UniRef50_Q2FZ47"
contig_1,cds,20429,21793,+,KIPAHP_00022,,Signal recognition particle protein,"SO:0001217, UniRef:UniRef50_A0A1F2QJ72"
contig_1,cds,21986,22261,+,KIPAHP_00023,,Small ribosomal subunit protein bS16,"SO:0001217, UniRef:UniRef50_Q2FZ45"
contig_1,cds,22275,22502,+,KIPAHP_00024,khpA,RNA-binding protein KhpA,"SO:0001217, UniRef:UniRef50_A0A2T4PRP0"
